"frame_ref","image_path","time","lat","lon","deph","hour","date_screen","time_screen","analize","color","observations"
1,"/workspaces/test-r/frames/image_000001.png","00:00:01",0,0,0,0,"","",0,0,0
2,"/workspaces/test-r/frames/image_000002.png","00:00:02",0,0,0,0,"","",0,0,0
3,"/workspaces/test-r/frames/image_000003.png","00:00:03",0,0,0,0,"","",0,0,0
4,"/workspaces/test-r/frames/image_000004.png","00:00:04",0,0,0,0,"","",0,0,0
5,"/workspaces/test-r/frames/image_000005.png","00:00:05",0,0,0,0,"","",0,0,0
6,"/workspaces/test-r/frames/image_000006.png","00:00:06",0,0,0,0,"","",0,0,0
7,"/workspaces/test-r/frames/image_000007.png","00:00:07",0,0,0,0,"","",0,0,0
8,"/workspaces/test-r/frames/image_000008.png","00:00:08",0,0,0,0,"","",0,0,0
9,"/workspaces/test-r/frames/image_000009.png","00:00:09",0,0,0,0,"","",0,0,0
10,"/workspaces/test-r/frames/image_000010.png","00:00:10",0,0,0,0,"","",0,0,0
11,"/workspaces/test-r/frames/image_000011.png","00:00:11",0,0,0,0,"","",0,0,0
12,"/workspaces/test-r/frames/image_000012.png","00:00:12",0,0,0,0,"","",0,0,0
13,"/workspaces/test-r/frames/image_000013.png","00:00:13",0,0,0,0,"","",0,0,0
14,"/workspaces/test-r/frames/image_000014.png","00:00:14",0,0,0,0,"","",0,0,0
15,"/workspaces/test-r/frames/image_000015.png","00:00:15",0,0,0,0,"","",0,0,0
16,"/workspaces/test-r/frames/image_000016.png","00:00:16",0,0,0,0,"","",0,0,0
17,"/workspaces/test-r/frames/image_000017.png","00:00:17",0,0,0,0,"","",0,0,0
18,"/workspaces/test-r/frames/image_000018.png","00:00:18",0,0,0,0,"","",0,0,0
19,"/workspaces/test-r/frames/image_000019.png","00:00:19",0,0,0,0,"","",0,0,0
20,"/workspaces/test-r/frames/image_000020.png","00:00:20",0,0,0,0,"","",0,0,0
21,"/workspaces/test-r/frames/image_000021.png","00:00:21",0,0,0,0,"","",0,0,0
22,"/workspaces/test-r/frames/image_000022.png","00:00:22",0,0,0,0,"","",0,0,0
23,"/workspaces/test-r/frames/image_000023.png","00:00:23",0,0,0,0,"","",0,0,0
24,"/workspaces/test-r/frames/image_000024.png","00:00:24",0,0,0,0,"","",0,0,0
25,"/workspaces/test-r/frames/image_000025.png","00:00:25",0,0,0,0,"","",0,0,0
26,"/workspaces/test-r/frames/image_000026.png","00:00:26",0,0,0,0,"","",0,0,0
27,"/workspaces/test-r/frames/image_000027.png","00:00:27",0,0,0,0,"","",0,0,0
28,"/workspaces/test-r/frames/image_000028.png","00:00:28",0,0,0,0,"","",0,0,0
29,"/workspaces/test-r/frames/image_000029.png","00:00:29",0,0,0,0,"","",0,0,0
30,"/workspaces/test-r/frames/image_000030.png","00:00:30",0,0,0,0,"","",0,0,0
