"frame_ref","image_path","time","lat","lon","deph","hour","date_screen","time_screen","analize","color","observations"
1,"/workspaces/test-r/frames/image_000001.png","00:00:01","","","","","","","TRUE","",""
2,"/workspaces/test-r/frames/image_000002.png","00:00:02","","","","","","","","",""
3,"/workspaces/test-r/frames/image_000003.png","00:00:03","","","","","","","","",""
4,"/workspaces/test-r/frames/image_000004.png","00:00:04","","","","","","","","",""
5,"/workspaces/test-r/frames/image_000005.png","00:00:05","","","","","","","","",""
6,"/workspaces/test-r/frames/image_000006.png","00:00:06","","","","","","","","",""
7,"/workspaces/test-r/frames/image_000007.png","00:00:07","","","","","","","","",""
8,"/workspaces/test-r/frames/image_000008.png","00:00:08","","","","","","","","",""
9,"/workspaces/test-r/frames/image_000009.png","00:00:09","","","","","","","","",""
10,"/workspaces/test-r/frames/image_000010.png","00:00:10","","","","","","","","",""
11,"/workspaces/test-r/frames/image_000011.png","00:00:11","","","","","","","","",""
12,"/workspaces/test-r/frames/image_000012.png","00:00:12","","","","","","","","",""
13,"/workspaces/test-r/frames/image_000013.png","00:00:13","","","","","","","","",""
14,"/workspaces/test-r/frames/image_000014.png","00:00:14","","","","","","","","",""
15,"/workspaces/test-r/frames/image_000015.png","00:00:15","","","","","","","","",""
16,"/workspaces/test-r/frames/image_000016.png","00:00:16","","","","","","","","",""
17,"/workspaces/test-r/frames/image_000017.png","00:00:17","","","","","","","","",""
18,"/workspaces/test-r/frames/image_000018.png","00:00:18","","","","","","","","",""
19,"/workspaces/test-r/frames/image_000019.png","00:00:19","","","","","","","","",""
20,"/workspaces/test-r/frames/image_000020.png","00:00:20","","","","","","","","",""
21,"/workspaces/test-r/frames/image_000021.png","00:00:21","","","","","","","","",""
22,"/workspaces/test-r/frames/image_000022.png","00:00:22","","","","","","","","",""
23,"/workspaces/test-r/frames/image_000023.png","00:00:23","","","","","","","","",""
24,"/workspaces/test-r/frames/image_000024.png","00:00:24","","","","","","","","",""
25,"/workspaces/test-r/frames/image_000025.png","00:00:25","","","","","","","","",""
26,"/workspaces/test-r/frames/image_000026.png","00:00:26","","","","","","","","",""
27,"/workspaces/test-r/frames/image_000027.png","00:00:27","","","","","","","","",""
28,"/workspaces/test-r/frames/image_000028.png","00:00:28","","","","","","","","",""
29,"/workspaces/test-r/frames/image_000029.png","00:00:29","","","","","","","","",""
30,"/workspaces/test-r/frames/image_000030.png","00:00:30","","","","","","","","",""
